time	3-T
2021-02-21T12:36:10.771Z	930
2021-02-21T12:36:12.771Z	929
2021-02-21T12:36:14.772Z	928
2021-02-21T12:36:16.772Z	927
2021-02-21T12:36:18.773Z	926
2021-02-21T12:36:20.772Z	925
2021-02-21T12:36:22.773Z	924
2021-02-21T12:36:24.773Z	923
2021-02-21T12:36:26.775Z	922
2021-02-21T12:36:28.776Z	921
2021-02-21T12:36:30.776Z	920
2021-02-21T12:36:32.777Z	919
2021-02-21T12:36:34.777Z	918
2021-02-21T12:36:36.777Z	917
2021-02-21T12:36:38.781Z	916
2021-02-21T12:36:40.781Z	915
2021-02-21T12:36:42.781Z	914
2021-02-21T12:36:44.782Z	913
2021-02-21T12:36:46.784Z	912
2021-02-21T12:36:48.784Z	911
2021-02-21T12:36:50.784Z	910
2021-02-21T12:36:52.786Z	909
2021-02-21T12:37:00.786Z	904
2021-02-21T12:37:02.787Z	903
2021-02-21T12:37:04.787Z	902
2021-02-21T12:37:06.848Z	901
2021-02-21T12:37:08.849Z	900
2021-02-21T12:37:10.850Z	899
2021-02-21T12:37:12.850Z	898
2021-02-21T12:37:14.851Z	897
2021-02-21T12:37:16.851Z	896
2021-02-21T12:37:18.852Z	895
2021-02-21T12:37:20.851Z	893
2021-02-21T12:37:22.851Z	892
2021-02-21T12:37:24.851Z	891
2021-02-21T12:37:26.852Z	890
2021-02-21T12:37:28.853Z	889
2021-02-21T12:37:30.854Z	887
2021-02-21T12:37:32.854Z	886
2021-02-21T12:37:34.854Z	885
2021-02-21T12:37:36.855Z	884
2021-02-21T12:37:38.855Z	883
2021-02-21T12:37:40.855Z	881
2021-02-21T12:37:42.855Z	880
2021-02-21T12:37:44.856Z	879
2021-02-21T12:37:46.855Z	878
2021-02-21T12:37:48.855Z	876
2021-02-21T12:37:50.855Z	875
2021-02-21T12:37:52.855Z	874
2021-02-21T12:37:54.856Z	873
2021-02-21T12:37:56.856Z	872
2021-02-21T12:37:58.856Z	870
2021-02-21T12:38:00.857Z	869
2021-02-21T12:38:02.856Z	868
2021-02-21T12:38:04.857Z	867
2021-02-21T12:38:06.857Z	865
2021-02-21T12:38:08.857Z	864
2021-02-21T12:38:10.857Z	863
2021-02-21T12:38:12.858Z	862
2021-02-21T12:38:14.859Z	861
2021-02-21T12:38:16.859Z	859
2021-02-21T12:38:18.859Z	858
2021-02-21T12:38:20.859Z	857
2021-02-21T12:38:22.860Z	855
2021-02-21T12:38:24.860Z	854
2021-02-21T12:38:26.861Z	852
2021-02-21T12:38:28.861Z	851
2021-02-21T12:38:30.861Z	850
2021-02-21T12:38:32.862Z	849
2021-02-21T12:38:34.862Z	847
2021-02-21T12:38:36.863Z	846
2021-02-21T12:38:38.862Z	845
2021-02-21T12:38:40.863Z	844
2021-02-21T12:38:42.864Z	842
2021-02-21T12:38:44.864Z	840
2021-02-21T12:38:46.865Z	839
2021-02-21T12:38:48.864Z	838
2021-02-21T12:38:50.864Z	837
2021-02-21T12:38:52.865Z	835
2021-02-21T12:38:54.866Z	834
2021-02-21T12:38:56.865Z	832
2021-02-21T12:38:58.865Z	831
2021-02-21T12:39:00.865Z	830
2021-02-21T12:39:02.866Z	828
2021-02-21T12:39:04.867Z	827
2021-02-21T12:39:06.867Z	825
2021-02-21T12:39:08.867Z	824
2021-02-21T12:39:10.868Z	823
2021-02-21T12:39:12.868Z	821
2021-02-21T12:39:14.867Z	820
2021-02-21T12:39:16.867Z	818
2021-02-21T12:39:18.867Z	817
2021-02-21T12:39:20.867Z	816
2021-02-21T12:39:22.867Z	814
2021-02-21T12:39:24.867Z	812
2021-02-21T12:39:26.867Z	811
2021-02-21T12:39:28.867Z	810
2021-02-21T12:39:30.867Z	808
2021-02-21T12:39:32.867Z	807
2021-02-21T12:39:34.868Z	805
2021-02-21T12:39:36.867Z	804
2021-02-21T12:39:38.868Z	803
2021-02-21T12:39:40.868Z	801
2021-02-21T12:39:42.868Z	799
2021-02-21T12:39:44.868Z	798
2021-02-21T12:39:46.868Z	797
2021-02-21T12:39:48.868Z	795
2021-02-21T12:39:50.869Z	794
2021-02-21T12:39:52.869Z	792
2021-02-21T12:39:54.869Z	790
2021-02-21T12:39:56.869Z	789
2021-02-21T12:39:58.868Z	788
2021-02-21T12:40:00.868Z	786
2021-02-21T12:40:02.869Z	784
2021-02-21T12:40:04.869Z	783
2021-02-21T12:40:06.870Z	782
2021-02-21T12:40:08.869Z	780
2021-02-21T12:40:10.869Z	778
2021-02-21T12:40:12.869Z	777
2021-02-21T12:40:14.870Z	775
2021-02-21T12:40:16.870Z	774
2021-02-21T12:40:18.871Z	772
2021-02-21T12:40:20.871Z	770
2021-02-21T12:40:22.871Z	769
2021-02-21T12:40:24.871Z	768
2021-02-21T12:40:26.872Z	766
2021-02-21T12:40:28.871Z	764
2021-02-21T12:40:30.872Z	763
2021-02-21T12:40:32.872Z	761
2021-02-21T12:40:34.873Z	760
2021-02-21T12:40:36.872Z	758
2021-02-21T12:40:38.873Z	756
2021-02-21T12:40:40.874Z	755
2021-02-21T12:40:42.874Z	753
2021-02-21T12:40:44.874Z	752
2021-02-21T12:40:46.873Z	750
2021-02-21T12:40:48.874Z	748
2021-02-21T12:40:50.874Z	747
2021-02-21T12:40:52.875Z	745
2021-02-21T12:40:54.875Z	744
2021-02-21T12:40:56.876Z	742
2021-02-21T12:40:58.876Z	740
2021-02-21T12:41:00.877Z	739
2021-02-21T12:41:02.876Z	737
2021-02-21T12:41:04.876Z	735
2021-02-21T12:41:06.877Z	734
2021-02-21T12:41:08.877Z	732
2021-02-21T12:41:10.878Z	731
2021-02-21T12:41:12.878Z	729
2021-02-21T12:41:14.879Z	727
2021-02-21T12:41:16.879Z	726
2021-02-21T12:41:18.880Z	724
2021-02-21T12:41:20.879Z	723
2021-02-21T12:41:22.879Z	720
2021-02-21T12:41:24.880Z	719
2021-02-21T12:41:26.880Z	717
2021-02-21T12:41:28.881Z	716
2021-02-21T12:41:30.880Z	714
2021-02-21T12:41:32.880Z	712
2021-02-21T12:41:34.886Z	710
2021-02-21T12:41:36.881Z	709
2021-02-21T12:41:38.882Z	707
2021-02-21T12:41:40.882Z	705
2021-02-21T12:41:42.881Z	704
2021-02-21T12:41:44.881Z	702
2021-02-21T12:41:46.881Z	701
2021-02-21T12:41:48.882Z	699
2021-02-21T12:41:50.881Z	697
2021-02-21T12:41:52.881Z	695
2021-02-21T12:41:54.881Z	694
2021-02-21T12:41:56.882Z	692
2021-02-21T12:41:58.882Z	691
2021-02-21T12:42:00.882Z	688
2021-02-21T12:42:02.882Z	687
2021-02-21T12:42:04.883Z	685
2021-02-21T12:42:06.882Z	684
2021-02-21T12:42:08.882Z	681
2021-02-21T12:42:10.883Z	680
2021-02-21T12:42:12.884Z	678
2021-02-21T12:42:14.884Z	677
2021-02-21T12:42:16.885Z	675
2021-02-21T12:42:18.884Z	673
2021-02-21T12:42:20.884Z	671
2021-02-21T12:42:22.885Z	670
2021-02-21T12:42:24.886Z	668
2021-02-21T12:42:26.886Z	666
2021-02-21T12:42:28.886Z	664
2021-02-21T12:42:30.887Z	662
2021-02-21T12:42:32.886Z	661
2021-02-21T12:42:34.886Z	659
2021-02-21T12:42:36.886Z	657
2021-02-21T12:42:38.886Z	655
2021-02-21T12:42:40.887Z	654
2021-02-21T12:42:42.887Z	652
2021-02-21T12:42:44.887Z	650
2021-02-21T12:42:46.888Z	648
2021-02-21T12:42:48.888Z	647
2021-02-21T12:42:50.887Z	645
2021-02-21T12:42:52.887Z	643
2021-02-21T12:42:54.887Z	641
2021-02-21T12:42:56.887Z	639
2021-02-21T12:42:58.888Z	638
2021-02-21T12:43:00.889Z	636
2021-02-21T12:43:02.889Z	635
2021-02-21T12:43:04.890Z	632
2021-02-21T12:43:06.890Z	631
2021-02-21T12:43:08.889Z	629
2021-02-21T12:43:10.889Z	627
2021-02-21T12:43:12.890Z	625
2021-02-21T12:43:14.890Z	623
2021-02-21T12:43:16.891Z	622
2021-02-21T12:43:18.891Z	620
2021-02-21T12:43:20.891Z	618
2021-02-21T12:43:22.891Z	616
2021-02-21T12:43:24.891Z	614
2021-02-21T12:43:26.892Z	613
2021-02-21T12:43:28.892Z	611
2021-02-21T12:43:30.893Z	609
2021-02-21T12:43:32.892Z	607
2021-02-21T12:43:34.892Z	605
2021-02-21T12:43:36.893Z	604
2021-02-21T12:43:38.894Z	602
2021-02-21T12:43:40.895Z	600
2021-02-21T12:43:42.895Z	598
2021-02-21T12:43:44.896Z	596
2021-02-21T12:43:46.895Z	595
2021-02-21T12:43:48.895Z	592
2021-02-21T12:43:50.896Z	591
2021-02-21T12:43:52.895Z	589
2021-02-21T12:43:54.895Z	587
2021-02-21T12:43:56.896Z	586
2021-02-21T12:43:58.895Z	583
2021-02-21T12:44:00.896Z	582
2021-02-21T12:44:02.897Z	580
2021-02-21T12:44:04.898Z	578
2021-02-21T12:44:06.898Z	577
2021-02-21T12:44:08.899Z	574
2021-02-21T12:44:10.899Z	573
2021-02-21T12:44:12.900Z	571
2021-02-21T12:44:14.900Z	569
2021-02-21T12:44:16.901Z	567
2021-02-21T12:44:18.900Z	565
2021-02-21T12:44:20.901Z	563
2021-02-21T12:44:22.902Z	562
2021-02-21T12:44:24.901Z	560
2021-02-21T12:44:26.901Z	558
2021-02-21T12:44:28.902Z	556
2021-02-21T12:44:30.901Z	554
2021-02-21T12:44:32.902Z	553
2021-02-21T12:44:34.902Z	550
2021-02-21T12:44:36.902Z	549
2021-02-21T12:44:38.903Z	547
2021-02-21T12:44:40.903Z	545
2021-02-21T12:44:42.904Z	544
2021-02-21T12:44:44.904Z	541
2021-02-21T12:44:46.905Z	539
2021-02-21T12:44:48.904Z	538
2021-02-21T12:44:50.904Z	536
2021-02-21T12:44:52.904Z	534
2021-02-21T12:44:54.905Z	532
2021-02-21T12:44:56.905Z	530
2021-02-21T12:44:58.905Z	529
2021-02-21T12:45:00.906Z	527
2021-02-21T12:45:02.906Z	524
2021-02-21T12:45:04.905Z	523
2021-02-21T12:45:06.906Z	521
2021-02-21T12:45:08.906Z	519
2021-02-21T12:45:10.906Z	518
2021-02-21T12:45:12.906Z	515
2021-02-21T12:45:14.905Z	514
2021-02-21T12:45:16.905Z	512
2021-02-21T12:45:18.906Z	510
2021-02-21T12:45:20.907Z	508
2021-02-21T12:45:22.907Z	506
2021-02-21T12:45:24.907Z	504
2021-02-21T12:45:26.907Z	503
2021-02-21T12:45:28.908Z	501
2021-02-21T12:45:30.908Z	499
2021-02-21T12:45:32.907Z	497
2021-02-21T12:45:34.908Z	495
2021-02-21T12:45:36.908Z	494
2021-02-21T12:45:38.909Z	491
2021-02-21T12:45:40.910Z	489
2021-02-21T12:45:42.909Z	488
2021-02-21T12:45:44.910Z	486
2021-02-21T12:45:46.910Z	484
2021-02-21T12:45:48.909Z	482
2021-02-21T12:45:50.909Z	480
2021-02-21T12:45:52.910Z	479
2021-02-21T12:45:54.909Z	477
2021-02-21T12:45:56.910Z	474
2021-02-21T12:45:58.910Z	473
2021-02-21T12:46:00.910Z	471
2021-02-21T12:46:02.911Z	469
2021-02-21T12:46:04.911Z	468
2021-02-21T12:46:06.912Z	465
2021-02-21T12:46:08.912Z	464
2021-02-21T12:46:10.912Z	462
2021-02-21T12:46:12.912Z	460
2021-02-21T12:46:14.911Z	458
2021-02-21T12:46:16.911Z	456
2021-02-21T12:46:18.911Z	454
2021-02-21T12:46:20.912Z	453
2021-02-21T12:46:23.285Z	451
2021-02-21T12:46:25.286Z	449
2021-02-21T12:46:27.285Z	446
2021-02-21T12:46:29.286Z	445
2021-02-21T12:46:31.287Z	443
2021-02-21T12:46:33.286Z	441
2021-02-21T12:46:35.287Z	440
2021-02-21T12:46:37.287Z	437
2021-02-21T12:46:39.288Z	436
2021-02-21T12:46:41.288Z	434
2021-02-21T12:46:43.288Z	432
2021-02-21T12:46:45.288Z	430
2021-02-21T12:46:47.289Z	428
2021-02-21T12:46:49.289Z	427
2021-02-21T12:46:51.290Z	425
2021-02-21T12:46:53.289Z	423
2021-02-21T12:46:55.290Z	421
2021-02-21T12:46:57.289Z	419
2021-02-21T12:46:59.289Z	417
2021-02-21T12:47:01.290Z	416
2021-02-21T12:47:03.291Z	413
2021-02-21T12:47:05.291Z	412
2021-02-21T12:47:07.291Z	410
2021-02-21T12:47:09.291Z	408
2021-02-21T12:47:13.013Z	502
2021-02-21T12:47:15.012Z	503
2021-02-21T12:47:17.013Z	505
2021-02-21T12:47:19.014Z	507
2021-02-21T12:47:21.015Z	509
2021-02-21T12:47:23.015Z	511
2021-02-21T12:47:25.014Z	513
2021-02-21T12:47:27.015Z	514
2021-02-21T12:47:29.015Z	517
2021-02-21T12:47:31.015Z	518
2021-02-21T12:47:33.016Z	520
2021-02-21T12:47:35.015Z	522
2021-02-21T12:47:37.016Z	523
2021-02-21T12:47:39.015Z	526
2021-02-21T12:47:41.015Z	528
2021-02-21T12:47:43.016Z	529
2021-02-21T12:47:45.015Z	531
2021-02-21T12:47:47.016Z	533
2021-02-21T12:47:49.016Z	535
2021-02-21T12:47:51.015Z	537
2021-02-21T12:47:53.015Z	539
2021-02-21T12:47:55.016Z	540
2021-02-21T12:47:57.016Z	542
2021-02-21T12:47:59.015Z	544
2021-02-21T12:48:01.016Z	546
2021-02-21T12:48:03.015Z	548
2021-02-21T12:48:05.015Z	549
2021-02-21T12:48:07.016Z	552
2021-02-21T12:48:09.016Z	553
2021-02-21T12:48:11.017Z	555
2021-02-21T12:48:13.017Z	557
2021-02-21T12:48:15.016Z	558
2021-02-21T12:48:17.016Z	561
2021-02-21T12:48:19.017Z	563
2021-02-21T12:48:21.016Z	564
2021-02-21T12:48:23.016Z	566
2021-02-21T12:48:25.016Z	568
2021-02-21T12:48:27.016Z	570
2021-02-21T12:48:29.017Z	572
2021-02-21T12:48:31.016Z	573
2021-02-21T12:48:33.016Z	575
2021-02-21T12:48:35.017Z	577
2021-02-21T12:48:37.017Z	579
2021-02-21T12:48:39.017Z	581
2021-02-21T12:48:41.017Z	582
2021-02-21T12:55:59.230Z	502
2021-02-21T12:56:01.228Z	503
2021-02-21T12:56:03.229Z	505
2021-02-21T12:56:05.229Z	507
2021-02-21T12:56:08.108Z	510
2021-02-21T12:56:10.108Z	512
2021-02-21T12:56:12.108Z	513
